ID,parcelle(PC/PF),site(1-2),plot,label,holenbr
PC-1-11-1,PC,1,1,1,1
PC-1-11-2,PC,1,1,1,2
PC-1-11-3,PC,1,1,1,3
PC-1-11-4,PC,1,1,1,4
PC-1-11-5,PC,1,1,1,5
PC-1-11-6,PC,1,1,1,6
PC-1-11-7,PC,1,1,1,7
PC-1-11-8,PC,1,1,1,8
PC-1-11-9,PC,1,1,1,9
PC-1-11-10,PC,1,1,1,10
PC-1-11-11,PC,1,1,1,11
PC-1-11-12,PC,1,1,1,12
PC-1-11-13,PC,1,1,1,13
PC-1-11-14,PC,1,1,1,14
PC-1-11-15,PC,1,1,1,15
PC-1-11-16,PC,1,1,1,16
PC-1-12-1,PC,1,1,2,1
PC-1-12-2,PC,1,1,2,2
PC-1-12-3,PC,1,1,2,3
PC-1-12-4,PC,1,1,2,4
PC-1-12-5,PC,1,1,2,5
PC-1-12-6,PC,1,1,2,6
PC-1-12-7,PC,1,1,2,7
PC-1-12-8,PC,1,1,2,8
PC-1-12-9,PC,1,1,2,9
PC-1-12-10,PC,1,1,2,10
PC-1-12-11,PC,1,1,2,11
PC-1-12-12,PC,1,1,2,12
PC-1-12-13,PC,1,1,2,13
PC-1-12-14,PC,1,1,2,14
PC-1-12-15,PC,1,1,2,15
PC-1-12-16,PC,1,1,2,16
PC-1-13-1,PC,1,1,3,1
PC-1-13-2,PC,1,1,3,2
PC-1-13-3,PC,1,1,3,3
PC-1-13-4,PC,1,1,3,4
PC-1-13-5,PC,1,1,3,5
PC-1-13-6,PC,1,1,3,6
PC-1-13-7,PC,1,1,3,7
PC-1-13-8,PC,1,1,3,8
PC-1-13-9,PC,1,1,3,9
PC-1-13-10,PC,1,1,3,10
PC-1-13-11,PC,1,1,3,11
PC-1-13-12,PC,1,1,3,12
PC-1-13-13,PC,1,1,3,13
PC-1-13-14,PC,1,1,3,14
PC-1-13-15,PC,1,1,3,15
PC-1-13-16,PC,1,1,3,16
PC-1-14-1,PC,1,1,4,1
PC-1-14-2,PC,1,1,4,2
PC-1-14-3,PC,1,1,4,3
PC-1-14-4,PC,1,1,4,4
PC-1-14-5,PC,1,1,4,5
PC-1-14-6,PC,1,1,4,6
PC-1-14-7,PC,1,1,4,7
PC-1-14-8,PC,1,1,4,8
PC-1-14-9,PC,1,1,4,9
PC-1-14-10,PC,1,1,4,10
PC-1-14-11,PC,1,1,4,11
PC-1-14-12,PC,1,1,4,12
PC-1-14-13,PC,1,1,4,13
PC-1-14-14,PC,1,1,4,14
PC-1-14-15,PC,1,1,4,15
PC-1-14-16,PC,1,1,4,16
PC-1-15-1,PC,1,1,5,1
PC-1-15-2,PC,1,1,5,2
PC-1-15-3,PC,1,1,5,3
PC-1-15-4,PC,1,1,5,4
PC-1-15-5,PC,1,1,5,5
PC-1-15-6,PC,1,1,5,6
PC-1-15-7,PC,1,1,5,7
PC-1-15-8,PC,1,1,5,8
PC-1-15-9,PC,1,1,5,9
PC-1-15-10,PC,1,1,5,10
PC-1-15-11,PC,1,1,5,11
