order,code,trophic,phytophagous,saprophagous,predator,rhizophagous,parasitic,xylophagaous,fungivore
snails,sna,phytophagous-saprophagous,1,1,0,0,0,0,0
slugs,slu,phytophagous-saprophagous,1,1,0,0,0,0,0
planarians,plan,predator,0,0,1,0,0,0,0
lumbricina_oligochaetes,lum.ol,saprophagous-xylophagous,0,1,0,0,0,1,0
tubificina_oligochaetes,tub.ol,saprophagous,0,1,0,0,0,0,0
hirudinea,hir,parasitic-predator,0,0,1,0,1,0,0
dipteran_larvae,di.la,saprophagous,0,1,0,0,0,0,0
curculionoid_coleopteran_larvae,cur.la,phytophagous,1,0,0,0,0,0,0
eruciform_larvae,eru.la,phytophagous,1,0,0,0,0,0,0
melolonthoid_larvae,mel.la,saprophagous-rhizophagous,0,1,0,1,0,0,0
caraboid_larvae,car.la,predator,0,0,1,0,0,0,0
cucujoid_larvae,cuc.la,predator-saprophagous,0,1,1,0,0,0,0
orthoptera,orth,phytophagous-saprophagous-predator,1,1,1,0,0,0,0
blattoptera,blat,saprophagous,0,1,0,0,0,0,0
coleoptera,col,predator-saprophagous-phytophagous-xylophagous,1,1,1,0,0,1,0
dermaptera,derm,phytophagous-predator-saprophagous,1,1,1,0,0,0,0
hemiptera,hem,phytophagous-predator,1,0,1,0,0,0,0
collembolans,collem,saprophagous-fungivore,0,1,0,0,0,0,1
thysanoura,thys,saprophagous,0,1,0,0,0,0,0
diploura,dipr,saprophagous-predator,0,1,1,1,0,0,1
protoura,prot,saprophagous-fungivore,0,1,0,0,0,0,0
hymenoptera,hym,phytophagous-predator-saprophagous,1,1,1,0,0,0,0
isoptera,isopt,phytophagous-saprophagous-xylophagous,1,1,0,0,0,1,0
araneae,ara,predator,0,0,1,0,0,0,0
scorpions,sco,predator,0,0,1,0,0,0,0
pseudoscorpions,ps.sco,predator,0,0,1,0,0,0,0
opilions,opi,predator-saprophagous,0,1,1,0,0,0,0
acarina,aca,saprophagous-predator,0,1,1,0,0,0,0
isopoda,isopd,saprophagous,0,1,0,0,0,0,0
symphyla,sym,saprophagous,0,1,1,1,0,0,0
chilopoda,chil,predator,0,0,1,0,0,0,0
diplopoda,dipd,saprophagous,0,1,0,0,0,0,0
neuroptera,neu,predator,0,0,1,0,0,0,0
lepidopteran_larvae,lep.la,phytophagous,1,0,0,0,0,0,0
hemiptera,hem,phytophagous-predator,1,0,1,0,0,0,0
amblypygi,amb,predator,0,0,1,0,0,0,0
Oeuf_jaune,yl.egg,,,,,,,,
Oeuf_vert,gr.egg,,,,,,,,
unknown,unk,,,,,,,,
